baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HAX54_000020-T1	75.2313895484468	-3.78479905514279	1.08334405933917	10.0353854567328	0.0015356141001749	0.0454105269848245
HAX54_000183-T1	237.47192163923	3.19446789776595	0.719555610253637	16.8683181218198	4.00647725261767e-05	0.00677610108906173
HAX54_000205-T1	2539.0786495706	5.71798104673025	1.32915093621479	12.3585303726663	0.000438976105261069	0.0243211263223283
HAX54_000313-T1	11.2944840291571	-5.16575671857055	1.38009232584187	15.8159907524831	6.98100206239255e-05	0.00950601421209019
HAX54_000377-T1	60.8913532575763	6.04817911058379	1.54420654986087	11.2487939380989	0.000796747692365727	0.0330166265471727
HAX54_000394-T1	2776.90446970969	-2.4017594973737	0.611684487987221	13.9175447033474	0.000191007195318953	0.0157669472740396
HAX54_000459-T1	166.824288703049	-3.16478545707557	0.934973344310567	9.79042055484561	0.00175423337407107	0.0482305847420873
HAX54_000510-T1	282.68435189996	1.71058394322149	0.394698472445407	17.9006717458619	2.32738946146059e-05	0.00517772543191552
HAX54_000524-T1	116.991273185298	6.99919981761607	1.7000845307572	11.2057007472769	0.000815464267695503	0.0331735168834971
HAX54_000535-T1	359.528030093738	7.03035765775067	1.75959700195269	9.73135227915375	0.00181151161738478	0.049028902440634
HAX54_000574-T1	1316.77731688006	1.38234442224057	0.425605930490086	10.1767601448267	0.00142221864411936	0.0438776850881469
HAX54_000575-T1	389.593278461121	4.79362732297872	1.18658922867726	12.019545589131	0.00052645535846291	0.0269957720250103
HAX54_000601-T1	53.2639091959337	-8.34127279571676	1.96229098571393	13.3483352043166	0.000258652138598045	0.0183795540550222
HAX54_000641-T1	270.224861143477	5.9171707341791	1.26458568264298	14.8308102807377	0.000117598502180579	0.0125321653716468
HAX54_000713-T1	444.966569412059	5.29831067753157	1.1229546453823	15.6897844773007	7.46261364004179e-05	0.00990028665521323
HAX54_000773-T1	91.118137481377	9.8515020902032	1.60426231028997	31.3518129583442	2.15257598519878e-08	3.89091562924587e-05
HAX54_000791-T1	953.952619557487	0.937315563330593	0.286254969111262	10.5484106689968	0.00116288037629931	0.0389706412085194
HAX54_000909-T1	430.43420010057	-3.76872979382775	0.665256413809987	26.0427938692608	3.33932893353206e-07	0.000321922440288936
HAX54_000942-T1	142.507112708015	2.03358748069202	0.613886590065141	10.2529417641368	0.0013646680651476	0.0430856429770681
HAX54_000951-T1	404.946967440469	5.51704833327412	1.28801704188063	12.6606407793444	0.000373434205485986	0.0221767775294871
HAX54_001206-T1	195.394756591299	-4.60470055893767	0.990464492019116	16.4034296291137	5.11925198636382e-05	0.0079627566241202
HAX54_001238-T1	5134.03736572973	-1.19660411888928	0.278883366404171	17.9114411663376	2.31425681487123e-05	0.00517772543191552
HAX54_001371-T1	884.745146249016	4.6913689238523	1.0647252460629	14.3405023985869	0.000152547301627937	0.0142093247596862
HAX54_001421-T1	189.948857272965	-3.61900167126459	0.95374854849012	11.8428912990383	0.000578818837620699	0.0284210859131209
HAX54_001451-T1	375.096046089797	3.23615406158656	0.777690940418707	14.6862834500824	0.000126966949314955	0.0129455064457833
HAX54_001452-T1	186.594021702074	3.6770963298604	0.853885685926508	15.2567357990145	9.38414896820559e-05	0.0114712727854933
HAX54_001462-T1	508.020594884231	2.35685630427741	0.700570388321765	10.2727038597887	0.00135012793978974	0.0429088463150099
HAX54_001495-T1	69.3354127716604	2.00105711550244	0.537760440172059	13.1518185645871	0.000287240324943665	0.019229808883555
HAX54_001496-T1	72.2053418941869	1.69113097712652	0.527872151871303	9.84660144768396	0.00170145804566976	0.0477282911142727
HAX54_001523-T1	645.622598243103	2.13942078407722	0.627227357800745	10.7260720561479	0.00105636448498553	0.0369741587327439
HAX54_001584-T1	357.417584476975	6.12024652060944	1.47182346156317	11.3401961199865	0.000758473136417803	0.0325456996711265
HAX54_001589-T1	26.5277577014286	7.09795501133925	1.96256332064422	10.1967964196892	0.00140684842542817	0.0437499605503314
HAX54_001732-T1	9082.41776736126	-1.34081871275345	0.304442243251834	18.7400608460434	1.49802084989781e-05	0.00415690595109784
HAX54_001763-T1	61.4589246519227	9.28365507131954	2.07139323381963	13.7085670469526	0.000213478449871337	0.0168323234629817
HAX54_001778-T1	20.3095595988096	-7.91692500256752	2.05292627705971	11.3001637910341	0.000775002537323582	0.0328648803254184
HAX54_001790-T1	17.6149576846642	4.16085392119983	1.23218860712795	10.2757448647653	0.00134790445966366	0.0429088463150099
